;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod
240;20230302_n491_str_2;playback;Vigilance;str;alone;10905;25,25;25,25;1;1;3
241;20230314_n491_str_2;after;Basking;str;alone;10905;0;-51,637;-1;0;1
242;20230314_n491_str_2;after;Exploration;str;alone;10905;NA;NA;NA;NA;NA
243;20230314_n491_str_2;after;Nest;str;alone;10905;NA;NA;NA;NA;NA
244;20230314_n491_str_2;after;Vigilance;str;alone;10905;60,276;52,41;1;1;3
245;20230314_n491_str_2;before;Basking;str;alone;10905;51,637;0;0;0;2
246;20230314_n491_str_2;before;Exploration;str;alone;10905;NA;NA;NA;NA;NA
247;20230314_n491_str_2;before;Nest;str;alone;10905;NA;NA;NA;NA;NA
248;20230314_n491_str_2;before;Vigilance;str;alone;10905;7,866;0;0;0;2
249;20230314_n491_str_2;playback;Basking;str;alone;10905;0;-51,637;-1;0;1
250;20230314_n491_str_2;playback;Exploration;str;alone;10905;NA;NA;NA;NA;NA
251;20230314_n491_str_2;playback;Nest;str;alone;10905;NA;NA;NA;NA;NA
252;20230314_n491_str_2;playback;Vigilance;str;alone;10905;60;52,134;1;1;3
253;20230314_n491_fam_1;after;Basking;fam;not_alone;10905;60,012;43,559;1;1;3
254;20230314_n491_fam_1;after;Exploration;fam;not_alone;10905;0;-9,01;-1;0;1
255;20230314_n491_fam_1;after;Nest;fam;not_alone;10905;0;-33,54;-1;0;1
256;20230314_n491_fam_1;after;Vigilance;fam;not_alone;10905;NA;NA;NA;NA;NA
257;20230314_n491_fam_1;before;Basking;fam;not_alone;10905;16,453;0;0;0;2
258;20230314_n491_fam_1;before;Exploration;fam;not_alone;10905;9,01;0;0;0;2
259;20230314_n491_fam_1;before;Nest;fam;not_alone;10905;33,54;0;0;0;2
260;20230314_n491_fam_1;before;Vigilance;fam;not_alone;10905;NA;NA;NA;NA;NA
261;20230314_n491_fam_1;playback;Basking;fam;not_alone;10905;60;43,547;1;1;3
262;20230314_n491_fam_1;playback;Exploration;fam;not_alone;10905;0;-9,01;-1;0;1
263;20230314_n491_fam_1;playback;Nest;fam;not_alone;10905;0;-33,54;-1;0;1
264;20230314_n491_fam_1;playback;Vigilance;fam;not_alone;10905;NA;NA;NA;NA;NA
265;20230321_n491_nbg_4;after;Basking;nbg;alone;10909;1,758;1,758;1;1;3
266;20230321_n491_nbg_4;after;Exploration;nbg;alone;10909;4,761;-7,828;-0,621812694;0;1
267;20230321_n491_nbg_4;after;Nest;nbg;alone;10909;53,549;6,138;0,129463627;1;2
268;20230321_n491_nbg_4;after;Vigilance;nbg;alone;10909;0;0;0;0;2
269;20230321_n491_nbg_4;before;Basking;nbg;alone;10909;0;0;0;0;2
270;20230321_n491_nbg_4;before;Exploration;nbg;alone;10909;12,589;0;0;0;2
271;20230321_n491_nbg_4;before;Nest;nbg;alone;10909;47,411;0;0;0;2
272;20230321_n491_nbg_4;before;Vigilance;nbg;alone;10909;0;0;0;0;2
