exp_id;pb_type;Behavior;timeline;alone;indiv;duration;diff;perc_diff;dim
20230302_n491_fam_1;fam;Exploration;after;alone;10905;0;-13,251;-1;0
20230302_n491_str_2;str;Exploration;after;alone;10905;9,087;-20,165;-0,689354574;0
20230302_n491_fam_1;fam;Nest;after;alone;10905;0;-45,001;-1;0
20230302_n491_str_2;str;Vigilance;after;alone;10905;49,997;49,997;1;1
20230314_n491_str_2;str;Vigilance;after;alone;10905;60,276;52,41;1;1
20230314_n491_ctr_3;ctr;Basking;before;alone;10905;60;0;0;0
20230302_n491_fam_1;fam;Basking;before;alone;10905;0;0;0;0
20230314_n491_nbg_4;nbg;Basking;before;alone;10905;60;0;0;0
20230302_n491_str_2;str;Basking;before;alone;10905;24,247;0;0;0
20230314_n491_str_2;str;Basking;before;alone;10905;51,637;0;0;0
20230302_n491_fam_1;fam;Exploration;before;alone;10905;13,251;0;0;0
20230302_n491_str_2;str;Exploration;before;alone;10905;29,252;0;0;0
20230302_n491_fam_1;fam;Nest;before;alone;10905;45,001;0;0;0
20230302_n491_str_2;str;Vigilance;before;alone;10905;0;0;0;0
20230314_n491_str_2;str;Vigilance;before;alone;10905;7,866;0;0;0
20230314_n491_ctr_3;ctr;Basking;playback;alone;10905;60;0;0;0
20230302_n491_fam_1;fam;Basking;playback;alone;10905;55,998;55,998;1;1
20230314_n491_nbg_4;nbg;Basking;playback;alone;10905;60;0;0;0
20230302_n491_str_2;str;Basking;playback;alone;10905;0;-24,247;-1;0
20230314_n491_str_2;str;Basking;playback;alone;10905;0;-51,637;-1;0
20230302_n491_fam_1;fam;Exploration;playback;alone;10905;0;-13,251;-1;0
20230302_n491_str_2;str;Exploration;playback;alone;10905;34,42;5,168;0,176671681;1
20230302_n491_fam_1;fam;Nest;playback;alone;10905;0;-45,001;-1;0
20230302_n491_str_2;str;Vigilance;playback;alone;10905;25,25;25,25;1;1
20230314_n491_str_2;str;Vigilance;playback;alone;10905;60;52,134;1;1
20230314_n491_fam_1;fam;Basking;after;not_alone;10905;60,012;43,559;1;1
20230314_n491_fam_1;fam;Exploration;after;not_alone;10905;0;-9,01;-1;0
20230314_n491_fam_1;fam;Nest;after;not_alone;10905;0;-33,54;-1;0
20230314_n491_fam_1;fam;Basking;before;not_alone;10905;16,453;0;0;0
20230314_n491_fam_1;fam;Exploration;before;not_alone;10905;9,01;0;0;0
20230314_n491_fam_1;fam;Nest;before;not_alone;10905;33,54;0;0;0
20230314_n491_fam_1;fam;Basking;playback;not_alone;10905;60;43,547;1;1
20230314_n491_fam_1;fam;Exploration;playback;not_alone;10905;0;-9,01;-1;0
20230314_n491_fam_1;fam;Nest;playback;not_alone;10905;0;-33,54;-1;0
20230321_n491_nbg_4;nbg;Basking;after;alone;10909;1,758;1,758;1;1
20230321_n491_nbg_4;nbg;Exploration;after;alone;10909;4,761;-7,828;-0,621812694;0
20230321_n491_nbg_4;nbg;Nest;after;alone;10909;53,549;6,138;0,129463627;1
20230321_n491_nbg_4;nbg;Vigilance;after;alone;10909;0;0;0;0
20230321_n491_nbg_4;nbg;Basking;before;alone;10909;0;0;0;0
20230321_n491_nbg_4;nbg;Exploration;before;alone;10909;12,589;0;0;0
20230321_n491_nbg_4;nbg;Nest;before;alone;10909;47,411;0;0;0
20230321_n491_nbg_4;nbg;Vigilance;before;alone;10909;0;0;0;0
20230321_n491_nbg_4;nbg;Basking;playback;alone;10909;20,261;20,261;1;1
20230321_n491_nbg_4;nbg;Exploration;playback;alone;10909;12,477;-0,112;-0,008896656;0
20230321_n491_nbg_4;nbg;Nest;playback;alone;10909;0;-47,411;-1;0
20230321_n491_nbg_4;nbg;Vigilance;playback;alone;10909;14,008;14,008;1;1
20230321_n491_fam_1;fam;Basking;after;not_alone;10909;60,31;0,31;0,005166667;1
20230309_n491_str_5;str;Basking;after;not_alone;10909;31,048;16,246;1;1
20230309_n491_str_5;str;Exploration;after;not_alone;10909;0;-11,659;-1;0
20230309_n491_str_5;str;Vigilance;after;not_alone;10909;26,764;-2,517;-0,085960179;0
20230321_n491_fam_1;fam;Basking;before;not_alone;10909;60;0;0;0
20230309_n491_str_5;str;Basking;before;not_alone;10909;14,802;0;0;0
20230309_n491_str_5;str;Exploration;before;not_alone;10909;11,659;0;0;0
20230309_n491_str_5;str;Vigilance;before;not_alone;10909;29,281;0;0;0
20230321_n491_fam_1;fam;Basking;playback;not_alone;10909;60;0;0;0
20230309_n491_str_5;str;Basking;playback;not_alone;10909;9,456;-5,346;-0,36116741;0
20230309_n491_str_5;str;Exploration;playback;not_alone;10909;0;-11,659;-1;0
20230309_n491_str_5;str;Vigilance;playback;not_alone;10909;45,799;16,518;0,564120078;1
20230309_n491_fam_3;fam;Basking;after;alone;10932;60,192;0,192;0,0032;1
20230309_n491_fam_3;fam;Basking;before;alone;10932;60;0;0;0
20230309_n491_fam_3;fam;Basking;playback;alone;10932;60;0;0;0
20230309_n491_fam_6;fam;Basking;after;not_alone;10932;60,366;0,366;0,0061;1
20230309_n491_nbg_4;nbg;Basking;after;not_alone;10932;21,255;-38,745;-0,64575;0
20230309_n491_nbg_4;nbg;Exploration;after;not_alone;10932;0;0;0;0
20230309_n491_fam_6;fam;Nest;after;not_alone;10932;0;0;0;0
20230309_n491_nbg_4;nbg;Vigilance;after;not_alone;10932;38,353;38,353;1;1
20230309_n491_fam_6;fam;Basking;before;not_alone;10932;60;0;0;0
20230309_n491_nbg_4;nbg;Basking;before;not_alone;10932;60;0;0;0
20230309_n491_nbg_4;nbg;Exploration;before;not_alone;10932;0;0;0;0
20230309_n491_fam_6;fam;Nest;before;not_alone;10932;0;0;0;0
20230309_n491_nbg_4;nbg;Vigilance;before;not_alone;10932;0;0;0;0
20230309_n491_fam_6;fam;Basking;playback;not_alone;10932;54,251;-5,749;-0,095816667;0
20230309_n491_nbg_4;nbg;Basking;playback;not_alone;10932;7,504;-52,496;-0,874933333;0
20230309_n491_nbg_4;nbg;Exploration;playback;not_alone;10932;8,504;8,504;1;1
20230309_n491_fam_6;fam;Nest;playback;not_alone;10932;3,254;3,254;1;1
20230309_n491_nbg_4;nbg;Vigilance;playback;not_alone;10932;43,23;43,23;1;1
20230303_n376_ctr_1;ctr;Basking;after;alone;10936;60,217;60,217;1;1
20230303_n376_fam_4;fam;Basking;after;alone;10936;59,246;12,751;0,274244542;1
20230324_n376_fam_1;fam;Basking;after;alone;10936;0;-8,669;-1;0
20230322_n376_str_1;str;Basking;after;alone;10936;18,03;-21,772;-0,547007688;0
20230303_n376_fam_4;fam;Exploration;after;alone;10936;0;-8,009;-1;0
20230324_n376_fam_1;fam;Exploration;after;alone;10936;60,209;8,878;0,172955914;1
20230322_n376_str_1;str;Exploration;after;alone;10936;5,497;2,747;0,998909091;1
20230303_n376_fam_4;fam;Nest;after;alone;10936;0;-3,996;-1;0
20230322_n376_str_1;str;Nest;after;alone;10936;29,256;17,306;1;1
20230303_n376_ctr_1;ctr;Vigilance;after;alone;10936;0;-1,032;-1;0
20230322_n376_str_1;str;Vigilance;after;alone;10936;6,307;6,307;1;1
20230303_n376_ctr_1;ctr;Basking;before;alone;10936;0;0;0;0
20230303_n376_fam_4;fam;Basking;before;alone;10936;46,495;0;0;0
20230324_n376_fam_1;fam;Basking;before;alone;10936;8,669;0;0;0
20230322_n376_str_1;str;Basking;before;alone;10936;39,802;0;0;0
20230303_n376_fam_4;fam;Exploration;before;alone;10936;8,009;0;0;0
20230324_n376_fam_1;fam;Exploration;before;alone;10936;51,331;0;0;0
20230322_n376_str_1;str;Exploration;before;alone;10936;2,75;0;0;0
20230303_n376_fam_4;fam;Nest;before;alone;10936;3,996;0;0;0
20230322_n376_str_1;str;Nest;before;alone;10936;11,95;0;0;0
20230303_n376_ctr_1;ctr;Vigilance;before;alone;10936;1,032;0;0;0
20230322_n376_str_1;str;Vigilance;before;alone;10936;0;0;0;0
20230303_n376_ctr_1;ctr;Basking;playback;alone;10936;52,282;52,282;1;1
20230303_n376_fam_4;fam;Basking;playback;alone;10936;60;13,505;0,29046134;1
20230324_n376_fam_1;fam;Basking;playback;alone;10936;57,644;48,975;1;1
20230322_n376_str_1;str;Basking;playback;alone;10936;0;-39,802;-1;0
20230303_n376_fam_4;fam;Exploration;playback;alone;10936;0;-8,009;-1;0
20230324_n376_fam_1;fam;Exploration;playback;alone;10936;2,356;-48,975;-0,95410181;0
20230322_n376_str_1;str;Exploration;playback;alone;10936;0;-2,75;-1;0
20230303_n376_fam_4;fam;Nest;playback;alone;10936;0;-3,996;-1;0
20230322_n376_str_1;str;Nest;playback;alone;10936;0;-11,95;-1;0
20230303_n376_ctr_1;ctr;Vigilance;playback;alone;10936;4,466;3,434;1;1
20230322_n376_str_1;str;Vigilance;playback;alone;10936;59,748;59,748;1;1
20230321_n491_fam_6;fam;Basking;after;alone;10941;0;-53,804;-1;0
20230321_n491_str_5;str;Basking;after;alone;10941;27,76;2,577;0,102330938;1
20230321_n491_fam_6;fam;Exploration;after;alone;10941;44,042;38,938;1;1
20230321_n491_str_5;str;Exploration;after;alone;10941;0;-32,007;-1;0
20230321_n491_fam_6;fam;Vigilance;after;alone;10941;15,979;14,887;1;1
20230321_n491_str_5;str;Vigilance;after;alone;10941;32,307;29,497;1;1
20230321_n491_fam_6;fam;Basking;before;alone;10941;53,804;0;0;0
20230321_n491_str_5;str;Basking;before;alone;10941;25,183;0;0;0
20230321_n491_fam_6;fam;Exploration;before;alone;10941;5,104;0;0;0
20230321_n491_str_5;str;Exploration;before;alone;10941;32,007;0;0;0
20230321_n491_fam_6;fam;Vigilance;before;alone;10941;1,092;0;0;0
20230321_n491_str_5;str;Vigilance;before;alone;10941;2,81;0;0;0
20230321_n491_fam_6;fam;Basking;playback;alone;10941;0;-53,804;-1;0
20230321_n491_str_5;str;Basking;playback;alone;10941;0;-25,183;-1;0
20230321_n491_fam_6;fam;Exploration;playback;alone;10941;0;-5,104;-1;0
20230321_n491_str_5;str;Exploration;playback;alone;10941;0;-32,007;-1;0
20230321_n491_fam_6;fam;Vigilance;playback;alone;10941;60;58,908;1;1
20230321_n491_str_5;str;Vigilance;playback;alone;10941;60;57,19;1;1
20230309_n491_nbg_1;nbg;Basking;after;alone;10962;60,2;0,2;0,003333333;1
20230309_n491_str_2;str;Basking;after;alone;10962;26,627;-33,373;-0,556216667;0
20230321_n491_str_3;str;Basking;after;alone;10962;0;-53,297;-1;0
20230309_n491_str_2;str;Exploration;after;alone;10962;20,255;20,255;1;1
20230309_n491_str_2;str;Nest;after;alone;10962;1,497;1,497;1;1
20230321_n491_str_3;str;Nest;after;alone;10962;59,423;56,973;1;1
20230309_n491_str_2;str;Vigilance;after;alone;10962;6,999;6,999;1;1
20230321_n491_str_3;str;Vigilance;after;alone;10962;0;-4,253;-1;0
20230309_n491_nbg_1;nbg;Basking;before;alone;10962;60;0;0;0
20230309_n491_str_2;str;Basking;before;alone;10962;60;0;0;0
20230321_n491_str_3;str;Basking;before;alone;10962;53,297;0;0;0
20230309_n491_str_2;str;Exploration;before;alone;10962;0;0;0;0
20230309_n491_str_2;str;Nest;before;alone;10962;0;0;0;0
20230321_n491_str_3;str;Nest;before;alone;10962;2,45;0;0;0
20230309_n491_str_2;str;Vigilance;before;alone;10962;0;0;0;0
20230321_n491_str_3;str;Vigilance;before;alone;10962;4,253;0;0;0
20230309_n491_nbg_1;nbg;Basking;playback;alone;10962;60;0;0;0
20230309_n491_str_2;str;Basking;playback;alone;10962;60;0;0;0
20230321_n491_str_3;str;Basking;playback;alone;10962;0;-53,297;-1;0
20230309_n491_str_2;str;Exploration;playback;alone;10962;0;0;0;0
20230309_n491_str_2;str;Nest;playback;alone;10962;0;0;0;0
20230321_n491_str_3;str;Nest;playback;alone;10962;60;57,55;1;1
20230309_n491_str_2;str;Vigilance;playback;alone;10962;0;0;0;0
20230321_n491_str_3;str;Vigilance;playback;alone;10962;0;-4,253;-1;0
20230321_n491_nbg_2;nbg;Basking;after;not_alone;10962;60,016;0,016;0,000266667;1
20230321_n491_nbg_2;nbg;Basking;before;not_alone;10962;60;0;0;0
20230321_n491_nbg_2;nbg;Basking;playback;not_alone;10962;60;0;0;0
20230303_n376_str_2;str;Exploration;after;alone;unknown1;0;-24,952;-1;0
20230303_n376_str_2;str;Nest;after;alone;unknown1;60,242;60,242;1;1
20230303_n376_str_2;str;Vigilance;after;alone;unknown1;0;-34,797;-1;0
20230303_n376_str_2;str;Exploration;before;alone;unknown1;24,952;0;0;0
20230303_n376_str_2;str;Nest;before;alone;unknown1;0;0;0;0
20230303_n376_str_2;str;Vigilance;before;alone;unknown1;34,797;0;0;0
20230303_n376_str_2;str;Exploration;playback;alone;unknown1;6,751;-18,201;-0,729440526;0
20230303_n376_str_2;str;Nest;playback;alone;unknown1;43,758;43,758;1;1
20230303_n376_str_2;str;Vigilance;playback;alone;unknown1;6,456;-28,341;-0,814466764;0
20230306_n66_fam_1;fam;Basking;after;alone;unknown2;0;-20,683;-1;0
20230306_n66_fam_1;fam;Exploration;after;alone;unknown2;0;-9,021;-1;0
20230306_n66_fam_1;fam;Nest;after;alone;unknown2;60,475;43,93;1;1
20230306_n66_fam_1;fam;Basking;before;alone;unknown2;20,683;0;0;0
20230306_n66_fam_1;fam;Exploration;before;alone;unknown2;9,021;0;0;0
20230306_n66_fam_1;fam;Nest;before;alone;unknown2;16,545;0;0;0
20230306_n66_fam_1;fam;Basking;playback;alone;unknown2;14,612;-6,071;-0,293526084;0
20230306_n66_fam_1;fam;Exploration;playback;alone;unknown2;6,75;-2,271;-0,251745926;0
20230306_n66_fam_1;fam;Nest;playback;alone;unknown2;37,638;21,093;1;1
20230311_n66_nbg_3;nbg;Basking;after;alone;unknown3;0;-23,118;-1;0
20230311_n66_str_4;str;Basking;after;alone;unknown3;0;-18,963;-1;0
20230311_n66_nbg_3;nbg;Exploration;after;alone;unknown3;10,254;10,254;1;1
20230311_n66_str_4;str;Exploration;after;alone;unknown3;0;-5,746;-1;0
20230311_n66_nbg_3;nbg;Nest;after;alone;unknown3;39,754;5,621;0,164679343;1
20230311_n66_str_4;str;Nest;after;alone;unknown3;59,938;24,916;0,711438524;1
20230311_n66_nbg_3;nbg;Vigilance;after;alone;unknown3;9,472;9,472;1;1
20230311_n66_str_4;str;Vigilance;after;alone;unknown3;0;0;0;0
20230311_n66_nbg_3;nbg;Basking;before;alone;unknown3;23,118;0;0;0
20230311_n66_str_4;str;Basking;before;alone;unknown3;18,963;0;0;0
20230311_n66_nbg_3;nbg;Exploration;before;alone;unknown3;0;0;0;0
20230311_n66_str_4;str;Exploration;before;alone;unknown3;5,746;0;0;0
20230311_n66_nbg_3;nbg;Nest;before;alone;unknown3;34,133;0;0;0
