X;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod;ZOdur;ZOdur_beta
333;20230309_n491_nbg_4;playback;Basking;nbg;not_alone;10932;7.504;-52.496;-0.874933333;0;1;0.124084332;0.124084332
334;20230309_n491_nbg_4;playback;Exploration;nbg;not_alone;10932;8.504;8.504;1;1;3;0.140620091;0.140620091
336;20230309_n491_nbg_4;playback;Vigilance;nbg;not_alone;10932;43.23;43.23;1;1;3;0.714840843;0.714840843
345;20230303_n376_ctr_1;playback;Basking;ctr;alone;10936;52.282;32.282;1;1;3;0.86452253;0.86452253
346;20230303_n376_ctr_1;playback;Exploration;ctr;alone;10936;0;0;0;0;2;0;2.00E-16
348;20230303_n376_ctr_1;playback;Vigilance;ctr;alone;10936;4.466;3.434;1;1;3;0.073848698;0.073848698
357;20230303_n376_fam_4;playback;Basking;fam;alone;10936;60;13.505;0.29046134;1;3;0.992145515;0.992145515
358;20230303_n376_fam_4;playback;Exploration;fam;alone;10936;0;-8.009;-1;0;1;0;2.00E-16
360;20230303_n376_fam_4;playback;Vigilance;fam;alone;10936;0;0;0;0;2;0;2.00E-16
369;20230324_n376_fam_1;playback;Basking;fam;alone;10936;57.644;48.975;1;1;3;0.953187267;0.953187267
370;20230324_n376_fam_1;playback;Exploration;fam;alone;10936;2.356;-48.975;-0.95410181;0;1;0.038958247;0.038958247
372;20230324_n376_fam_1;playback;Vigilance;fam;alone;10936;0;0;0;0;2;0;2.00E-16
381;20230322_n376_str_1;playback;Basking;str;alone;10936;0;-39.802;-1;0;1;0;2.00E-16
382;20230322_n376_str_1;playback;Exploration;str;alone;10936;0;-2.75;-1;0;1;0;2.00E-16
384;20230322_n376_str_1;playback;Vigilance;str;alone;10936;59.748;59.748;1;1;3;0.987978504;0.987978504
393;20230321_n491_fam_6;playback;Basking;fam;alone;10941;0;-53.804;-1;0;1;0;2.00E-16
394;20230321_n491_fam_6;playback;Exploration;fam;alone;10941;0;-5.104;-1;0;1;0;2.00E-16
396;20230321_n491_fam_6;playback;Vigilance;fam;alone;10941;60;58.908;1;1;3;0.992145515;0.992145515
405;20230321_n491_str_5;playback;Basking;str;alone;10941;0;-25.183;-1;0;1;0;2.00E-16
406;20230321_n491_str_5;playback;Exploration;str;alone;10941;0;-32.007;-1;0;1;0;2.00E-16
408;20230321_n491_str_5;playback;Vigilance;str;alone;10941;60;57.19;1;1;3;0.992145515;0.992145515
417;20230309_n491_nbg_1;playback;Basking;nbg;alone;10962;60;0;0;0;2;0.992145515;0.992145515
418;20230309_n491_nbg_1;playback;Exploration;nbg;alone;10962;0;0;0;0;2;0;2.00E-16
420;20230309_n491_nbg_1;playback;Vigilance;nbg;alone;10962;0;0;0;0;2;0;2.00E-16
429;20230309_n491_str_2;playback;Basking;str;alone;10962;60;0;0;0;2;0.992145515;0.992145515
430;20230309_n491_str_2;playback;Exploration;str;alone;10962;0;0;0;0;2;0;2.00E-16
432;20230309_n491_str_2;playback;Vigilance;str;alone;10962;0;0;0;0;2;0;2.00E-16
441;20230321_n491_str_3;playback;Basking;str;alone;10962;0;-53.297;-1;0;1;0;2.00E-16
442;20230321_n491_str_3;playback;Exploration;str;alone;10962;0;0;0;0;2;0;2.00E-16
444;20230321_n491_str_3;playback;Vigilance;str;alone;10962;0;-4.253;-1;0;1;0;2.00E-16
453;20230321_n491_nbg_2;playback;Basking;nbg;not_alone;10962;60;0;0;0;2;0.992145515;0.992145515
454;20230321_n491_nbg_2;playback;Exploration;nbg;not_alone;10962;0;0;0;0;2;0;2.00E-16
456;20230321_n491_nbg_2;playback;Vigilance;nbg;not_alone;10962;0;0;0;0;2;0;2.00E-16
465;20230306_n66_fam_1;playback;Basking;fam;alone;unknown2;14.612;-6.071;-0.293526084;0;1;0.241620504;0.241620504
466;20230306_n66_fam_1;playback;Exploration;fam;alone;unknown2;6.75;-2.271;-0.251745926;0;1;0.11161637;0.11161637
468;20230306_n66_fam_1;playback;Vigilance;fam;alone;unknown2;0;0;0;0;2;0;2.00E-16
477;20230311_n66_nbg_3;playback;Basking;nbg;alone;unknown3;56.46;33.342;1;1;3;0.933608929;0.933608929
478;20230311_n66_nbg_3;playback;Exploration;nbg;alone;unknown3;0;0;0;0;2;0;2.00E-16
480;20230311_n66_nbg_3;playback;Vigilance;nbg;alone;unknown3;3.54;3.54;1;1;3;0.058536585;0.058536585
489;20230315_n376_nbg_2;playback;Basking;nbg;alone;unknown4;19.281;0.536;0.028594292;1;2;0.318825961;0.318825961
490;20230315_n376_nbg_2;playback;Exploration;nbg;alone;unknown4;11.797;-27.897;-0.702801431;0;1;0.195072344;0.195072344
492;20230315_n376_nbg_2;playback;Vigilance;nbg;alone;unknown4;27.963;27.399;1;1;3;0.462389417;0.462389417
501;20230324_n376_fam_2;playback;Basking;fam;alone;unknown5;60;52.198;1;1;3;0.992145515;0.992145515
502;20230324_n376_fam_2;playback;Exploration;fam;alone;unknown5;0;-52.198;-1;0;1;0;2.00E-16
504;20230324_n376_fam_2;playback;Vigilance;fam;alone;unknown5;0;0;0;0;2;0;2.00E-16
